服务器组名	服务器地址	服务器端口	服务器信息
凯旋（电信）	195.154.60.188	29000	无法连接到服务器！
凯旋（电信）	195.154.60.188	29000	无法连接到服务器！
凯旋（电信）	195.154.60.188	29000	无法连接到服务器！
凯旋（电信）	195.154.60.188	29001	无法连接到服务器！
凯旋（电信）	195.154.60.188	29001	无法连接到服务器！
凯旋（电信）	195.154.60.188	29001	无法连接到服务器！
凯旋（电信）	195.154.60.188	29002	无法连接到服务器！
凯旋（电信）	195.154.60.188	29002	无法连接到服务器！
凯旋（电信）	195.154.60.188	29002	无法连接到服务器！
凯旋（网通）	195.154.60.188	29003	无法连接到服务器！
凯旋（网通）	195.154.60.188	29003	无法连接到服务器！
凯旋（网通）	195.154.60.188	29003	无法连接到服务器！
凯旋（网通）	195.154.60.188	29004	无法连接到服务器！
凯旋（网通）	195.154.60.188	29004	无法连接到服务器！
凯旋（网通）	195.154.60.188	29004	无法连接到服务器！
凯旋（网通）	195.154.60.188	29005	无法连接到服务器！
凯旋（网通）	195.154.60.188	29005	无法连接到服务器！
凯旋（网通）	195.154.60.188	29005	无法连接到服务器！
